eta_eno,eta_v,ducros_cutoff,fdisper,ftke,fcons,f_obj_CV,is_min_f_obj_CV
0.6087,0.3964,0.5173,0.818,-0.367,-9.2876,20.525694611554858,False
0.8696,0.5116,0.6519,0.1825,-0.8814,-0.1161,0.6768622614296717,False
0.6659,0.4491,0.5098,0.5114,-0.4633,-1.5991,3.9755955727615406,False
1.0,0.5373,0.8084,0.0866,-0.7892,-0.0933,0.5177276854919449,False
0.8272,0.5396,0.3651,0.155,-0.7924,-0.0942,0.5791552259126493,False
0.6641,0.4947,0.853,0.8678,-0.9084,-0.0912,1.218745853743268,False
0.8919,0.4829,0.1145,0.1355,-0.9551,-0.0304,0.47770130803398697,True
