eta_eno,eta_v,ducros_cutoff,fdisper,ftke,fcons,time
0.8901,0.725,0.5151,0.1601,2.4303,-0.0089,2024-01-23 16:53:42
0.838,0.3829,0.9433,0.7168,4,1,2024-01-23 16:56:49
0.7568,0.9021,0.55,0.2794,3.1847,-0.0252,2024-01-23 17:11:21
0.8475,0.577,0.2187,0.1599,0.9692,0.0145,2024-01-23 17:25:57
0.9865,0.1079,0.4673,0.0772,4,1,2024-01-23 17:28:35
0.2245,0.1365,0.9664,6,4,1,2024-01-23 17:30:22
0.0502,0.164,0.3763,6,4,1,2024-01-23 17:32:05
0.2875,0.1081,0.4245,6,4,1,2024-01-23 17:33:49
0.2778,0.519,0.9597,9.4089,0.3951,0.0283,2024-01-23 17:48:10
0.3378,0.3362,0.483,6,4,1,2024-01-23 17:50:21
0.0011,0.7085,0.4517,6,1.7029,-0.0296,2024-01-23 18:03:46
0.9976,0.128,0.1909,0.0786,4,1,2024-01-23 18:06:29
0.7946,0.8091,0.6382,0.2202,2.9969,-0.0192,2024-01-23 18:20:44
0.1558,0.5652,0.574,3.1124,0.6885,-0.014,2024-01-23 18:35:03
0.6051,0.1732,0.6899,6,4,1,2024-01-23 18:36:55
0.804,0.6441,0.4864,0.1994,1.7141,0.0061,2024-01-23 18:51:17
0.2258,0.3085,0.0582,6,4,1,2024-01-23 18:53:22
0.8059,0.2421,0.7775,6,4,1,2024-01-23 18:55:22
0.4213,0.0512,0.7577,6,4,1,2024-01-23 18:57:07
0.4147,0.034,0.0298,1.4537,4,1,2024-01-23 18:59:47
0.0,1.0,1.0,6,4,1,2024-01-23 19:01:25
0.3402,0.75,0.6293,8.3836,2.5166,-0.0052,2024-01-23 19:15:44
0.0,0.5256,0.7204,6,4.0773,0.5696,2024-01-23 19:22:24
0.6686,1.0,0.0,0.4119,2.3554,-0.0294,2024-01-23 19:36:50
1.0,1.0,1.0,6,4,1,2024-01-23 19:38:34
0.0,1.0,0.0,6,4,1,2024-01-23 19:40:15
0.4994,1.0,1.0,6,4,1,2024-01-23 19:42:23
1.0,0.0,1.0,6,4,1,2024-01-23 19:44:20
0.37,0.537,1.0,2.8422,0.6505,0.0211,2024-01-23 19:58:54
0.0,0.0,0.0,6,4,1,2024-01-23 20:00:44
0.3651,0.7116,0.0,3.0561,0.0569,-0.1559,2024-01-23 20:15:22
0.6661,0.672,0.0,0.4172,2.3555,-0.0288,2024-01-23 20:29:57
1.0,1.0,0.0,6,4,1,2024-01-23 20:31:43
0.311,1.0,0.3111,6,4,1,2024-01-23 20:33:32
0.0,0.0,0.7345,6,4,1,2024-01-23 20:35:15
0.0,0.5815,0.0,6,4,1,2024-01-23 20:37:02
0.0,1.0,0.6221,6,4,1,2024-01-23 20:38:51
0.6975,0.2717,0.0,0.2932,2.5279,-0.0339,2024-01-23 20:53:12
0.63,0.0,1.0,6,4,1,2024-01-23 20:55:01
0.6777,0.0,0.3045,6,4,1,2024-01-23 20:56:46
1.0,0.6675,1.0,6,1.9582,0.0003,2024-01-23 21:10:20
1.0,0.4234,0.0,6,4,1,2024-01-23 21:12:16
1.0,1.0,0.3361,6,4,1,2024-01-23 21:14:01
1.0,0.0,0.0,6,4,1,2024-01-23 21:15:48
0.0,0.3118,1.0,6,4,1,2024-01-23 21:17:50
0.4452,0.6282,0.2932,2.1968,1.5482,0.0135,2024-01-23 21:32:25
0.0,0.6976,1.0,6,2.1958,-0.0034,2024-01-23 21:46:01
1.0,0.4297,0.5835,6,1.1243,0.5453,2024-01-23 22:00:11
1.0,1.0,0.6835,6,4,1,2024-01-23 22:02:00
0.0,0.0,1.0,6,4,1,2024-01-23 22:03:47
