eta_eno,eta_v,ducros_cutoff,fdisper,ftke,fcons,time
0.0,1.0,0.2974,9,4,1,2024-01-26 02:12:51
0.7021,0.7508,1.0,0.4159,1.4755,-0.0106,2024-01-26 02:27:15
0.3074,1.0,0.7494,9,4,1,2024-01-26 02:29:01
0.6558,0.3118,0.334,0.457,4,1,2024-01-26 02:32:11
0.3244,1.0,0.0,2.5562,-0.9452,-0.1985,2024-01-26 02:46:41
1.0,0.7269,0.0,9,4,1,2024-01-26 02:48:29
0.0,0.4439,0.2705,9,4,1,2024-01-26 02:50:17
0.5477,0.4849,0.7558,1.5173,-0.8708,-0.0261,2024-01-26 03:04:50
0.8175,0.0,0.6961,9,4,1,2024-01-26 03:06:39
0.2668,0.8354,1.0,0.3235,1.9072,-0.0222,2024-01-26 03:21:09
0.573,0.674,0.0106,0.6178,0.8599,0.0015,2024-01-26 03:35:35
0.7494,0.9047,0.4948,0.269,2.0685,-0.0269,2024-01-26 03:50:01
0.5516,0.6088,0.8734,1.0234,0.2827,0.0138,2024-01-26 04:04:35
0.5421,0.2684,1.0,9,4,1,2024-01-26 04:06:39
0.7101,0.0,0.0,0.2843,1.4598,-0.0361,2024-01-26 04:21:08
0.0,0.2776,0.0,9,4,1,2024-01-26 04:22:53
0.0,0.2646,0.6432,9,4,1,2024-01-26 04:24:49
1.0,0.2694,1.0,9,4,1,2024-01-26 04:26:52
0.1339,0.766,0.2009,9,0.8523,-0.0179,2024-01-26 04:40:36
0.7463,1.0,0.8657,9,4,1,2024-01-26 04:42:26
0.1786,0.0,0.2023,9,4,1,2024-01-26 04:44:12
0.5025,1.0,0.5351,9,4,1,2024-01-26 04:45:58
1.0,0.3981,0.3185,9,4,1,2024-01-26 04:47:45
0.4617,0.4241,0.0,1.2193,-0.525,-0.0732,2024-01-26 05:02:19
0.0,0.0,0.449,9,4,1,2024-01-26 05:04:08
0.0,0.8103,0.776,9,17.9686,0.574,2024-01-26 05:11:25
0.2653,0.2899,0.7434,9,4,1,2024-01-26 05:13:33
1.0,0.0,0.7359,9,4,1,2024-01-26 05:15:19
0.5625,1.0,0.22,9,4,1,2024-01-26 05:17:06
0.4454,0.2188,0.2133,1.459,4,1,2024-01-26 05:20:03
0.5169,0.0,0.5081,9,4,1,2024-01-26 05:21:50
1.0,0.6137,0.7707,9,0.3271,0.0114,2024-01-26 05:35:25
0.2432,0.497,0.2322,7.482,-0.8483,-0.0345,2024-01-26 05:50:05
0.3747,0.0,1.0,9,4,1,2024-01-26 05:51:55
0.6465,0.5044,0.1125,0.4739,-0.6793,0.032,2024-01-26 06:06:30
0.8324,0.8713,0.1675,0.1908,1.9767,-0.0258,2024-01-26 06:21:05
0.2075,0.0,0.6451,9,4,1,2024-01-26 06:22:57
0.7915,0.6952,0.2434,0.1989,1.0633,-0.004,2024-01-26 06:37:29
0.1839,0.8917,0.5012,5.7021,1.8694,-0.0181,2024-01-26 06:52:07
1.0,0.0,0.3077,9,4,1,2024-01-26 06:53:59
0.5343,0.8712,0.7914,0.7498,1.9865,-0.0244,2024-01-26 07:08:35
0.2122,0.6615,0.3802,10.458,0.5441,-0.006,2024-01-26 07:23:13
0.3478,0.5701,0.1439,4.4538,-0.3271,-0.0069,2024-01-26 07:37:55
0.308,0.8541,0.0,4.5026,-0.9538,-0.2216,2024-01-26 07:52:37
0.554,0.6174,0.6502,0.8388,0.378,0.0133,2024-01-26 08:07:19
0.7545,0.3613,0.5619,0.3771,4,1,2024-01-26 08:10:55
1.0,0.3502,0.7976,9,4,1,2024-01-26 08:13:49
0.4431,0.0,0.2577,9,4,1,2024-01-26 08:15:55
1.0,0.7303,0.2738,9,4,1,2024-01-26 08:17:59
0.0,0.7948,0.0,9,4,1,2024-01-26 08:20:08
