eta_eno,eta_v,ducros_cutoff,fdisper,ftke,fcons,f_obj_CV,is_min_f_obj_CV
0.5622,0.6769,0.9589,0.8232,0.9646,-0.0002,2.7325303184202014,False
0.9989,0.6255,0.5207,0.1043,0.4454,0.0095,0.7620884817047905,False
0.7985,0.5599,0.3479,0.2023,-0.2366,0.0071,0.15573480682333324,False
0.7826,0.4944,0.7575,0.3341,-0.7476,0.0168,-0.13278312926301372,True
0.9777,0.2839,0.2235,0.1031,4.0,1.0,9.265973217736072,False
0.646,0.6712,0.0364,0.4396,0.8996,0.0006,1.9068010525358134,False
0.5,1.0,0.0,0.997,-0.0322,-0.0037,1.9064176711029437,False
0.7126,0.6397,0.5568,0.31,0.5589,0.0062,1.2830382041654775,False
1.0,0.7098,1.0,9.0,1.146,-0.0057,18.993093474625972,False
0.5,0.7483,0.2952,1.0569,1.4014,-0.0093,3.6564994497090164,False
0.7508,0.0,0.0,0.2381,1.6063,-0.0389,2.1522167230191287,False
0.7555,1.0,0.0,0.2357,1.6404,-0.0395,2.184252911130367,False
0.8213,0.8583,0.4767,0.1958,1.9096,-0.0234,2.4884700322184874,False
0.8739,0.8094,0.0,0.1674,1.955,-0.049,2.3714672461831565,False
1.0,0.5667,0.797,9.0,-0.2389,0.0119,17.47034146164962,False
