eta_eno,eta_v,ducros_cutoff,fdisper,ftke,fcons,time
0.675,0.49,0.3285,0.4694,-0.9309,-0.0825,2024-02-02 14:50:28
0.818,0.862,0.5828,0.2273,0.0211,-0.0491,2024-02-02 15:05:33
1.0,0.5243,0.3974,9,4,1,2024-02-02 15:07:49
1.0,0.1213,0.8642,9,4,1,2024-02-02 15:09:58
1.0,0.0,0.1722,9,4,1,2024-02-02 15:11:57
1.0,0.6178,0.8633,9,-0.5231,-0.0867,2024-02-02 15:26:11
0.6112,0.1311,0.5366,9,4,1,2024-02-02 15:28:35
0.675,0.3264,0.859,0.5701,4,1,2024-02-02 15:31:50
0.8581,0.5822,0.0,0.174,0.0273,-0.0226,2024-02-02 15:46:57
0.6682,0.7144,0.3232,0.3931,-0.2369,-0.0678,2024-02-02 16:02:10
0.5,0.6092,0.3499,1.1451,-0.5553,-0.0903,2024-02-02 16:17:31
0.5,0.1274,0.704,9,4,1,2024-02-02 16:19:55
0.6181,0.1211,0.0,0.491,-0.3582,-0.0564,2024-02-02 16:35:11
0.595,0.9295,0.4123,0.6128,0.0859,-0.0455,2024-02-02 16:50:31
1.0,0.3267,0.1748,9,4,1,2024-02-02 16:52:43
0.8649,0.7844,0.1327,0.168,-0.0428,-0.056,2024-02-02 17:07:59
0.6293,0.2861,0.1514,0.4931,4,1,2024-02-02 17:11:35
1.0,0.6865,0.3019,9,4,1,2024-02-02 17:13:56
0.6773,1.0,0.855,9,4,1,2024-02-02 17:16:07
0.5,0.522,0.8687,2.3388,-0.8579,-0.1088,2024-02-02 17:31:23
0.6577,0.1952,1.0,9,4,1,2024-02-02 17:33:48
0.5,0.4365,0.0,0.997,-0.6625,-0.0708,2024-02-02 17:49:09
