eta_eno,eta_v,ducros_cutoff,fdisper,ftke,fcons,time
0.5454,0.8081,0.947,0.7321,0.0035,0.0544,2024-02-01 00:55:44
0.7304,0.7612,0.8062,0.3038,-0.1001,0.0608,2024-02-01 01:10:18
0.5877,0.4736,0.7475,1.1164,-0.9784,-0.0259,2024-02-01 01:24:55
0.8154,0.3229,0.0235,0.1569,-0.9908,-0.2804,2024-02-01 01:39:49
0.8485,0.1785,0.8229,9,4,1,2024-02-01 01:41:40
0.8588,0.5427,0.6875,0.15,-0.7781,0.0918,2024-02-01 01:56:13
0.8183,0.1735,0.417,0.175,4,1,2024-02-01 01:58:51
0.9202,0.647,0.4415,0.1295,-0.436,0.0791,2024-02-01 02:13:26
0.5961,0.1079,0.8846,9,4,1,2024-02-01 02:15:13
0.6846,0.9092,0.1857,0.3921,0.0518,0.0468,2024-02-01 02:29:45
0.6258,0.0485,0.1371,0.4079,4,1,2024-02-01 02:32:23
0.9437,0.384,0.5613,0.1892,0.0262,4.2295,2024-02-01 02:44:49
0.7502,0.3802,0.358,0.2738,-0.8547,-0.3145,2024-02-01 02:59:45
0.9071,0.1819,0.4301,0.1185,4,1,2024-02-01 03:02:26
0.9165,0.2238,0.0398,0.1296,4,1,2024-02-01 03:05:10
0.531,0.6612,0.7575,0.9332,-0.3908,0.0776,2024-02-01 03:19:43
0.9985,0.2889,0.394,0.1102,4,1,2024-02-01 03:22:32
0.8512,0.051,0.2489,0.1262,4,1,2024-02-01 03:25:09
0.6324,0.4666,0.3609,0.5976,-0.2094,14.7103,2024-02-01 03:41:03
0.7689,0.7319,0.7712,0.2411,-0.1796,0.0655,2024-02-01 03:55:45
1.0,1.0,0.0,9,4,1,2024-02-01 03:57:28
1.0,1.0,1.0,9,4,1,2024-02-01 03:59:10
0.5,1.0,0.5492,9,4,1,2024-02-01 04:00:50
0.5,1.0,0.0,0.997,-0.6625,0.0708,2024-02-01 04:15:30
1.0,1.0,0.4798,9,4,1,2024-02-01 04:17:12
1.0,0.5204,1.0,9,-0.8579,0.1079,2024-02-01 04:31:01
1.0,0.0,1.0,9,4,1,2024-02-01 04:32:45
0.5,0.6053,0.0,0.997,-0.6625,0.0708,2024-02-01 04:47:36
1.0,0.6327,0.0,9,4,1,2024-02-01 04:49:19
0.5,0.0,0.55,9,4,1,2024-02-01 04:50:59
0.5,0.4165,1.0,9,4,1,2024-02-01 04:53:27
0.5,0.2656,0.0,0.997,-0.6625,0.0708,2024-02-01 05:08:11
1.0,0.0,0.6806,9,4,1,2024-02-01 05:09:52
0.5,1.0,0.8724,9,4,1,2024-02-01 05:11:33
1.0,0.0,0.0,9,4,1,2024-02-01 05:13:16
0.5,0.7877,0.308,1.0261,-0.0653,0.0582,2024-02-01 05:27:51
0.5,0.0,1.0,9,4,1,2024-02-01 05:29:35
0.5,0.2228,0.3273,9,4,1,2024-02-01 05:31:48
0.8106,1.0,0.6978,9,4,1,2024-02-01 05:33:30
0.7203,1.0,1.0,9,4,1,2024-02-01 05:35:12
0.7536,0.7771,0.0,0.2266,-0.0945,0.0329,2024-02-01 05:49:45
0.5,0.0,0.0,0.997,-0.6625,0.0708,2024-02-01 06:04:33
