eta_eno,eta_v,ducros_cutoff,fdisper,ftke,fcons,f_obj_CV,is_min_f_obj_CV
0.6247,0.4882,0.1316,0.5292,-0.9319,-0.0706,1.119032328354177,False
0.8469,0.5141,0.5237,0.1605,-0.8735,-0.1124,0.8716391734709028,False
0.729,0.4436,0.6894,0.4368,-0.3151,-1.0454,1.716240708117383,False
0.928,0.707,0.6707,0.1235,-0.252,-0.0684,0.34522968275595634,True
0.6223,0.3955,0.5643,0.8085,-0.157,-1.142,1.9658954739801406,False
