eta_eno,eta_v,ducros_cutoff,fdisper,ftke,fcons,time
0.6962,1.0,0.5486,9,1.4307,-0.6821,2024-02-03 02:54:56
0.8108,0.6815,0.5719,0.2032,-0.3065,-0.0709,2024-02-03 03:09:44
0.6655,0.8286,0.6813,0.4504,0.0188,-0.0513,2024-02-03 03:24:42
1.0,0.6814,0.1282,9,4,1,2024-02-03 03:26:41
1.0,0.1537,0.0,9,4,1,2024-02-03 03:28:41
0.8745,0.9067,0.0,0.166,0.0308,-0.0223,2024-02-03 03:43:18
0.5,0.8359,0.813,0.8811,0.0081,-0.0529,2024-02-03 03:58:08
0.5,0.0,0.1444,9,4,1,2024-02-03 04:00:11
0.5,0.4313,0.6425,1.8844,-0.2849,-4.464,2024-02-03 04:07:05
0.8481,0.5618,1.0,1.7335,-0.7258,-0.0861,2024-02-03 04:21:55
0.8999,1.0,0.3376,9,4,1,2024-02-03 04:23:52
0.6247,0.4882,0.1316,0.5292,-0.9319,-0.0706,2024-02-03 04:38:41
0.87,1.0,0.5292,9,4,1,2024-02-03 04:40:37
0.8654,1.0,1.0,9,4,1,2024-02-03 04:42:44
0.6185,0.2776,0.4655,0.5852,4,1,2024-02-03 04:45:48
0.6359,0.4303,1.0,9,4,1,2024-02-03 04:48:49
0.5,1.0,0.4048,9,4,1,2024-02-03 04:50:51
0.7106,0.0,0.2454,9,4,1,2024-02-03 04:52:56
0.8469,0.5141,0.5237,0.1605,-0.8735,-0.1124,2024-02-03 05:07:39
0.9045,0.8719,0.7136,0.1794,0.043,-0.0467,2024-02-03 05:22:35
0.7376,0.6211,0.4295,0.2574,-0.5068,-0.087,2024-02-03 05:37:34
0.5,1.0,0.718,9,4,1,2024-02-03 05:39:38
0.8931,0.2291,0.2672,0.113,4,1,2024-02-03 05:42:51
0.59,0.0,0.6769,9,4,1,2024-02-03 05:44:50
0.6194,0.0,1.0,9,4,1,2024-02-03 05:46:55
0.8456,0.1119,0.0,0.1713,-0.0012,-0.0241,2024-02-03 06:01:36
0.6255,0.6589,0.6483,0.5415,-0.3942,-0.0787,2024-02-03 06:16:30
0.8278,0.2995,0.527,0.215,4,1,2024-02-03 06:20:01
1.0,0.0,0.843,9,4,1,2024-02-03 06:22:10
1.0,0.6545,1.0,9,-0.4038,-0.0803,2024-02-03 06:36:12
0.5,0.3845,0.2963,1.1109,-0.3765,-0.4919,2024-02-03 06:51:36
0.7518,0.1912,0.3325,0.2272,4,1,2024-02-03 06:54:18
0.8995,0.3381,0.3421,0.1524,4,1,2024-02-03 06:57:25
0.645,0.4735,0.3513,0.5482,-0.976,0.0309,2024-02-03 07:11:59
0.6625,1.0,0.2828,9,4,1,2024-02-03 07:14:04
1.0,0.8882,0.8857,9,0.0589,-0.0461,2024-02-03 07:28:07
0.8917,0.7276,0.8672,0.1691,-0.1971,-0.0657,2024-02-03 07:43:06
0.624,0.3815,0.0,0.4943,-0.3436,-0.0548,2024-02-03 07:58:10
0.729,0.4436,0.6894,0.4368,-0.3151,-1.0454,2024-02-03 08:07:52
1.0,0.2594,0.551,9,4,1,2024-02-03 08:10:23
0.8976,0.7276,0.0,0.1488,0.0323,-0.0216,2024-02-03 08:25:17
0.928,0.707,0.6707,0.1235,-0.252,-0.0684,2024-02-03 08:40:23
0.6223,0.3955,0.5643,0.8085,-0.157,-1.142,2024-02-03 08:50:07
1.0,0.6191,0.5277,9,-0.516,-0.0847,2024-02-03 09:04:20
1.0,0.1255,0.3395,9,4,1,2024-02-03 09:06:26
0.8513,0.0,0.3819,9,4,1,2024-02-03 09:08:36
0.5,0.5831,0.6647,1.5495,-0.6621,-0.0964,2024-02-03 09:23:26
0.5,0.3147,0.1437,1.0276,4,1,2024-02-03 09:27:02
0.6494,0.6564,0.0,0.4407,-0.2636,-0.0489,2024-02-03 09:42:05
0.685,0.0,0.5481,9,4,1,2024-02-03 09:44:14
1.0,0.932,0.105,9,4,1,2024-02-03 09:46:28
0.5944,0.3093,0.7191,0.7717,4,1,2024-02-03 09:49:51
1.0,0.2574,0.8362,9,4,1,2024-02-03 09:52:20
0.851,0.8768,1.0,0.2872,0.0492,-0.0468,2024-02-03 10:07:21
0.5,0.8721,1.0,0.297,0.0433,-0.0469,2024-02-03 10:22:22
0.6259,0.0,0.0,0.4862,-0.3341,-0.0533,2024-02-03 10:37:31
0.7209,0.84,0.4274,0.2991,0.0258,-0.0505,2024-02-03 10:52:47
0.767,0.7717,0.2427,0.2187,-0.0656,-0.0588,2024-02-03 11:07:58
0.745,0.6793,0.9345,0.3634,-0.3092,-0.0737,2024-02-03 11:23:07
0.7429,0.12,0.8968,9,4,1,2024-02-03 11:25:36
