eta_eno,eta_v,ducros_cutoff,fdisper,ftke,fcons
0.6181,0.1211,0.0,-0.491,0.3582,0.0564
0.595,0.9295,0.4123,-0.6128,-0.0859,0.0455
1.0,0.3267,0.1748,-9.0,-4.0,-1.0
0.8649,0.7844,0.1327,-0.168,0.0428,0.056
0.6293,0.2861,0.1514,-0.4931,-4.0,-1.0
1.0,0.6865,0.3019,-9.0,-4.0,-1.0
0.6773,1.0,0.855,-9.0,-4.0,-1.0
0.5,0.522,0.8687,-2.3388,0.8579,0.1088
0.6577,0.1952,1.0,-9.0,-4.0,-1.0
0.5,0.4365,0.0,-0.997,0.6625,0.0708
0.7791,0.1579,0.1261,-0.1938,-4.0,-1.0
0.6891,0.8333,1.0,-0.3144,-0.0299,0.0506
0.6361,0.1337,0.3033,-0.2912,-4.0,-1.0
0.6124,1.0,0.1044,-9.0,-4.0,-1.0
0.5,0.7533,0.5016,-1.0843,0.1494,0.0646
0.8397,0.3572,0.747,-0.3103,-4.0,-1.0
1.0,1.0,0.6255,-9.0,-4.0,-1.0
0.8316,0.1413,0.628,-9.0,-4.0,-1.0
0.5,0.8953,0.1362,-1.022,0.0031,0.0535
0.5,0.375,0.4502,-1.602,0.2461,0.8778
0.864,0.5944,0.2868,-0.1461,0.6055,0.092
0.6218,0.7401,0.0816,-0.4911,0.1786,0.0657
0.6861,0.0,0.8473,-9.0,-4.0,-1.0
1.0,0.8633,0.3774,-9.0,-4.0,-1.0
0.6716,0.5969,0.8284,-0.4832,0.596,0.0944
0.5,0.1174,0.4493,-9.0,-4.0,-1.0
0.6307,0.9047,0.0,-0.495,0.325,0.0507
0.8702,0.0,0.0969,-9.0,-4.0,-1.0
1.0,0.0915,0.5305,-9.0,-4.0,-1.0
0.6663,0.1648,0.7359,-9.0,-4.0,-1.0
0.9124,0.3581,0.9318,-0.4071,-4.0,-1.0
0.8287,0.464,0.141,-0.1484,0.4799,0.8556
