eta_eno,eta_v,ducros_cutoff,fdisper,ftke,fcons,f_obj_CV,is_min_f_obj_CV
0.3244,1.0,0.0,2.5562,-0.9452,-0.1985,0.040380566858175204,False
0.5477,0.4849,0.7558,1.5173,-0.8708,-0.0261,-1.168778798352381,False
0.573,0.674,0.0106,0.6178,0.8599,0.0015,3.5404188668003367,False
0.7494,0.9047,0.4948,0.269,2.0685,-0.0269,7.222975609431701,False
0.5516,0.6088,0.8734,1.0234,0.2827,0.0138,2.0486242012251683,False
0.7101,0.0,0.0,0.2843,1.4598,-0.0361,5.232450878040387,False
0.4617,0.4241,0.0,1.2193,-0.525,-0.0732,-0.26539831106958434,False
0.6465,0.5044,0.1125,0.4739,-0.6793,0.032,-1.790611462907205,True
0.8324,0.8713,0.1675,0.1908,1.9767,-0.0258,6.829215023059297,False
0.7915,0.6952,0.2434,0.1989,1.0633,-0.004,3.762601782696985,False
0.308,0.8541,0.0,4.5026,-0.9538,-0.2216,2.208056518470392,False
0.554,0.6174,0.6502,0.8388,0.378,0.0133,2.161957765254935,False
