eta_eno,eta_v,ducros_cutoff,fdisper,ftke,fcons,time
1.0,0.1052,0.1302,9,4,1,2024-01-29 05:45:34
0.618,0.1425,0.0,0.5147,0.8284,-0.0181,2024-01-29 06:00:14
1.0,0.8137,0.4693,9,1.8943,-0.0205,2024-01-29 06:13:53
0.8651,0.338,0.8679,0.4548,4,1,2024-01-29 06:16:56
0.6871,0.1898,0.2318,0.337,4,1,2024-01-29 06:19:47
0.7644,0.4856,0.167,0.2004,-0.8488,-0.0151,2024-01-29 06:34:23
0.6314,0.0,0.8654,9,4,1,2024-01-29 06:36:03
0.8555,0.7209,0.6655,0.1786,1.2619,-0.008,2024-01-29 06:50:42
0.6545,0.8319,1.0,0.314,1.9046,-0.0218,2024-01-29 07:05:22
0.5,1.0,0.5019,9,4,1,2024-01-29 07:07:01
1.0,0.1513,0.8259,9,4,1,2024-01-29 07:08:59
0.8682,1.0,0.1238,9,4,1,2024-01-29 07:10:58
0.6016,0.5971,0.3638,0.6305,0.1686,0.0177,2024-01-29 07:25:42
0.6568,1.0,0.792,9,4,1,2024-01-29 07:27:32
0.601,0.1413,1.0,9,4,1,2024-01-29 07:29:32
0.5,0.7992,1.0,0.3441,1.809,-0.0169,2024-01-29 07:44:11
0.8749,0.6581,0.1257,0.1479,0.7242,0.0,2024-01-29 07:59:10
0.8963,0.0,0.148,9,4,1,2024-01-29 08:01:03
0.5,0.0776,0.1394,0.8398,4,1,2024-01-29 08:04:17
1.0,0.8197,0.0,9,4,1,2024-01-29 08:06:11
0.872,1.0,0.3535,9,4,1,2024-01-29 08:08:21
0.6915,0.2262,0.7626,9,4,1,2024-01-29 08:10:33
0.5,0.3755,0.8051,2.8891,4,1,2024-01-29 08:14:05
0.656,0.8585,0.0,0.4159,1.1487,-0.0272,2024-01-29 08:28:59
0.6262,0.4639,0.6183,0.9041,1.2268,4.9878,2024-01-29 08:38:29
